headliner,support,year,date,time,ticket_price,
MikeQ & Vjuan Allure,"Uptown Nikko, Jack Inslee, Wreck Tech, Ayes Cold",2017,Saturday Aug 5,10:00 PM,"			 $5       ",
Mat.Joe,"Philco, David Hamilton",2017,Friday Aug 4,10:00 PM,"			 $10       ",
Petit Biscuit (at 9:30 Club),Daktyl,2017,Wednesday Aug 2,8:00 PM,"			 $20       ",
DC Disco Showcase,"Baronhawk, MartÃ_n Miguel, DJ Nav, Ken Lazee",2017,Saturday Jul 29,10:00 PM,"			 $5       ",
Breakbot (DJ Set),MartÃ_n Miguel,2017,Saturday Jul 29,10:00 PM,"			 $15       ",
Free Range: Will Eastman b2b Ayes Cold,visuals by Robin Bell,2017,Friday Jul 28,10:00 PM,"			 $10       ",
Justin Jay (live),Ken Lazee,2017,Saturday Jul 22,10:00 PM,"			 $10       ",
DJ Dan,Proxxy & Lantern,2017,Friday Jul 21,10:30 PM,"			 $10       ",
Frank Iero,The Homeless Gospel Choir,2017,Friday Jul 21,Doors: 7:00 pm / Show: 7:30 pm ,"			 $20       ",
The Hip Abduction,Black Masala,2017,Thursday Jul 20,Doors: 6:30 pm / Show: 7:30 pm ,"			 $15       ",
Deep Sugar DC: Ultra NatÃ© & Lisa Moody,Guest Opener: Wayne Davis,2017,Saturday Jul 15,10:30 PM,"			 $10       ",
Myles Parrish,,2017,Saturday Jul 15,7:00 PM,"			 $15       ",
"Rush Plus & 1432 R (Sami, SuYung, Dawit)",,2017,Friday Jul 14,10:00 PM,"			 $5       ",
Why Don't We (Moved to 9:30 Club),,2017,Thursday Jul 13,7:00 PM,"			 $20       ",
Beth Ditto,U.S. Girls,2017,Wednesday Jul 12,7:00 PM,"			 $20       ",
Kap G & JR Donato (NEW DATE),Paper Paulk,2017,Sunday Jul 9,7:00 PM,"			 $20       ",
Gigamesh,Ozker,2017,Saturday Jul 8,10:00 PM,"			 $10       ",
Bondax,Frankliin,2017,Friday Jul 7,10:30 PM,"			 $15       ",
3TEETH,,2017,Friday Jul 7,7:00 PM,"			 $20       ",
The Big Boom ft. SkiiTour,"Fort Knox Five, DJ Phil Dice, Raptorstein",2017,Monday Jul 3,9:30 PM,"			 $10       ",
Feed Me Disco with Eau Claire,BÃªte Noire b2b Fady D,2017,Saturday Jul 1,10:00 PM,"			 $10       ",
Prince and Michael Jackson Summer Pop Up with DJ Dredd,,2017,Friday Jun 30,10:00 PM,"			 $10       ",
Jerry Folk,Seba Yuri,2017,Thursday Jun 29,10:00 PM,"			 $10       ",
DakhaBrakha,,2017,Tuesday Jun 27,7:00 PM,"			 $30       ",
Wes Swing & Lowland Hum,,2017,Sunday Jun 25,7:00 PM,"			 $10       ",
Cut Snake,"Will Eastman, Chris Kennedy",2017,Saturday Jun 24,10:30 PM,"			 $10       ",
Azizi Gibson,,2017,Saturday Jun 24,7:00 PM,"			 $15       ",
Maya Jane Coles,Heather Femia,2017,Friday Jun 23,10:00 PM,"			 $20       ",
Fakear,Lightwaves,2017,Thursday Jun 22,10:00 PM,"			 $12       ",
The Widdler,,2017,Wednesday Jun 21,9:00 PM,"			 $15       ",
Sorrow,,2017,Wednesday Jun 21,9:00 PM,"			 $15       ",
Bogtrotter,,2017,Wednesday Jun 21,9:00 PM,"			 $15       ",
Toro y Moi (DJ Set),Tony Kill,2017,Sunday Jun 18,10:00 PM,"			 $15       ",
Miguel Migs,"Thomas Blondet, Nick Garcia",2017,Saturday Jun 17,10:00 PM,"			 $10       ",
The M Machine,"Indiginis, Fady D",2017,Friday Jun 16,10:00 PM,"			 $12       ",
Glacier Ride Fundraiser Event,"Color Palette, Staycation, Picnibus, The Aux Send + WOLM, Raptorstein, Symmetrical",2017,Thursday Jun 15,7:00 PM,"			 $15       ",
Daybreaker: Birthday Bash ft. Alex Cruz,,2017,Wednesday Jun 14,6:00 AM,"			 $18 - $35       ",
Mt. Kimbie,"KUCKA, Tirzah",2017,Monday Jun 12,7:00 PM,"			 $20       ",
Austin Mahone,The YRS,2017,Sunday Jun 11,6:30 PM,"			 $25       ",
Boys Noize,"Outputmessage, Keenan Orr, Lemz, David Hamilton",2017,Saturday Jun 10,9:00 PM,"			 $20       ",
The Coven: DJ MIM,,2017,Friday Jun 9,10:00 PM,"			 $10       ",
Jack & Jack,,2017,Friday Jun 9,7:15 PM,"			 $5       ",
Route 94,Jame Moorfield,2017,Thursday Jun 8,10:30 PM,"			 $12       ",
!!! (Chk Chk Chk),Nerftoss,2017,Thursday Jun 8,7:00 PM,"			 $20       ",
Roosevelt,Ela Minus,2017,Saturday Jun 3,10:00 PM,"			 $12       ",
Kill Paris,"Electric Mantis, Fung Sway",2017,Friday Jun 2,10:30 PM,"			 $12       ",
Tuxedo,"Gavin Turek, DJ Kurse",2017,Friday Jun 2,7:00 PM,"			 $25       ",
StÃ¶Ã¶ki Sound & Joker,Panch,2017,Wednesday May 31,10:00 PM,"			 $12       ",
REV909: French House/Daft Punk Tribute & Indie Dance Classics,Will Eastman & Ozker,2017,Sunday May 28,10:30 PM,"			 $10       ",
LP,"Lauren Ruth Ward, Josiah and The Bonnevilles",2017,Sunday May 28,6:00 PM,"			 $15       ",
Rumpshaker,"Billy The Gent, The Banditz, Trayze",2017,Saturday May 27,10:00 PM,"			 $10       ",
Friday Night Dance Party,Jerome Baker III & Friends,2017,Friday May 26,10:00 PM,"			 $10       ",
Deep Sugar DC: Ultra NatÃ© & Lisa Moody,,2017,Saturday May 20,10:30 PM,"			 $10       ",
Lewis Watson,Andy Shea,2017,Saturday May 20,7:00 PM,"			 $20       ",
Thomas Gold,"Sumner, Tony Smooth",2017,Friday May 19,10:30 PM,"			 $12       ",
Com Truise & Clark,,2017,Friday May 19,7:00 PM,"			 $20       ",
Unlike Pluto,Seba Yuri,2017,Thursday May 18,10:30 PM,"			 $10       ",
Doorly,"Hogan b2b Bortz, Ciconte, Colin Jeske vs Captain Carlos",2017,Wednesday May 17,10:00 PM,"			 $10       ",
Meat Puppets and mike watt + the jom & terry show,,2017,Sunday May 14,7:00 PM,"			 $25       ",
DIRTYBIRD BBQ AFTERPARTY,,2017,Saturday May 13,10:30 PM,"			 $10       ",
Wavves,Post Animal,2017,Saturday May 13,6:30 PM,"			 $20       ",
Dirtybird BBQ,"Claude VonStroke, Justin Martin, Kill Frenzy, Walker & Royce, Weiss",2017,Saturday May 13,Doors: 3:00 pm / Show: 3:00 pm  (event ends at 9:00 pm),"			 $40       ",
Louis Futon,"Armani White, Indiginis",2017,Friday May 12,10:00 PM,"			 $10       ",
Warm Up,DJ Chubb E Swagg,2017,Wednesday May 10,10:00 PM,"			 $10 - $20       ",
Run River North,"Arkells, Cobi",2017,Tuesday May 9,7:00 PM,"			 $20       ",
"Nancy & Beth (Megan Mullally, Stephanie Hunt)",,2017,Monday May 8,7:00 PM,"			 $30       ",
Our DC ft. Dave Nada,"Ayes Cold, Jahsonic, Native Sun",2017,Saturday May 6,10:00 PM,"			 $10       ",
Funk Parade Showcase,"Fort Knox Five & Qdup, Empresarios, BLACK MASALA",2017,Saturday May 6,7:00 PM,,
Eli & Fur,"Shawn Q, Blinkhorn",2017,Friday May 5,10:00 PM,"			 $10       ",
Zebbler Encanti Experience,"Sixis, Bleu",2017,Thursday May 4,10:00 PM,"			 $10       ",
COIN,A R I Z O N A,2017,Monday May 1,7:00 PM,"			 $18.50       ",
Bit Funk & Treasure Fingers,Sammy Bananas,2017,Saturday Apr 29,10:30 PM,"			 $10       ",
Jazz Cartier,"J.I.D, Levi Carter",2017,Saturday Apr 29,6:30 PM,"			 $15       ",
Friday Night Dance Party,"Jerome Baker III, Malcolm X & NY Giant",2017,Friday Apr 28,10:45 PM,"			 $10       ",
Lewis Del Mar,Anna Wise,2017,Friday Apr 28,7:00 PM,"			 $15       ",
The Gaslamp Killer,Ayes Cold,2017,Thursday Apr 27,10:30 PM,"			 $12       ",
Too Many Zooz,Sketchy Pete,2017,Thursday Apr 27,7:00 PM,"			 $20       ",
Kilter,Lance Neptune,2017,Wednesday Apr 26,11:00 PM,"			 $10       ",
Fenech-Soler & Knox Hamilton,,2017,Wednesday Apr 26,7:00 PM,"			 $15       ",
Will Eastman,"guest vocalists Haile Supreme, Ameer Dyson, Johnny Fantastic, Opening sets from Philco, Ozker",2017,Saturday Apr 22,10:00 PM,"			 $10       ",
Luca Lush,"Savage Patch, K Cap",2017,Friday Apr 21,10:00 PM,"			 $5 - $10       ",
Big Wild,"Tennyson, IHF (Imagined Herbal Flows)",2017,Thursday Apr 20,10:00 PM,"			 $15 - $18       ",
Big Wild,"Tennyson, IHF (Imagined Herbal Flows)",2017,Wednesday Apr 19,10:00 PM,"			 $18       ",
"Kendrick Lamar ""DAMN."" Listening Party",Mathias,2017,Tuesday Apr 18,8:00 PM,,
Sondre Lerche,Dedekind Cut,2017,Monday Apr 17,7:00 PM,"			 $20       ",
Cyril Hahn,"Philip Goyette, Enamour",2017,Saturday Apr 15,10:30 PM,"			 $10       ",
Mod Sun,"Marty Grimes, SwagHollywood",2017,Saturday Apr 15,6:30 PM,"			 $20       ",
Local House Showcase,"Sam Burns, DJ Nav, Sol Power All-Stars, Ozker",2017,Friday Apr 14,10:30 PM,"			 $5       ",
Chaz Bundick Meets The Mattson 2,Madeline Kenney,2017,Friday Apr 14,7:00 PM,"			 $20       ",
Buku & Late Night Radio,,2017,Thursday Apr 13,10:30 PM,"			 $15       ",
Kate Tempest,James Tillman,2017,Wednesday Apr 12,7:00 PM,"			 $18       ",
Between Two Hops,"Comedian Jim Tews, The Big Payback: A Tribute to James Brown",2017,Tuesday Apr 11,8:00 PM,"			 $10       ",
Local Techno Showcase,"Rush Plus, Outputmessage, Juana, Blinkhorn",2017,Saturday Apr 8,10:30 PM,"			 $5       ",
Maggie Rogers,JIL,2017,Saturday Apr 8,7:00 PM,"			 $15       ",
Feed Me Disco with Eau Claire,"Plastic Plates, zacheser",2017,Friday Apr 7,10:30 PM,"			 $10       ",
Crystal Garden (Boyd Tinsley of Dave Matthews Band),,2017,Friday Apr 7,7:00 PM,"			 $20       ",
Kyle,Cousin Stizz,2017,Tuesday Apr 4,7:00 PM,"			 $25       ",
Everybody Loves Music,"Joe L., Hugo Zapata, Juan Zapata",2017,Saturday Apr 1,10:30 PM,"			 $10       ",
Lambchop,Sloppy Heads,2017,Saturday Apr 1,7:00 PM,"			 $25       ",
Rumpshaker,"Billy The Gent, Kidd Marvel, Four Color Zack",2017,Friday Mar 31,10:00 PM,"			 $10       ",
Thrillseekers (open to close),,2017,Thursday Mar 30,10:30 PM,"			 $10 - $20       ",
Bebe Rexha,"Daniel Skye, Spencer Ludwig",2017,Thursday Mar 30,7:00 PM,"			 $20       ",
Michal Menert,"Cobrayama, Flash Frequency",2017,Wednesday Mar 29,10:00 PM,"			 $15       ",
Patrick Watson,Trevor Sensor,2017,Monday Mar 27,7:00 PM,"			 $25       ",
RAM Tour 2017,"Bad Company UK, DC Breaks, Loadstar, Ken Lazee w/ Kinetiks MC",2017,Sunday Mar 26,10:00 PM,"			 $20       ",
Nadus,"Mathias, Little Bacon Bear",2017,Saturday Mar 25,10:30 PM,"			 $10       ",
POWERS & James Hersey,Nick Leng,2017,Saturday Mar 25,6:30 PM,"			 $18       ",
Arman Cekin,Rewak,2017,Friday Mar 24,10:30 PM,"			 $10       ",
Sofi Tukker,LP GIOBBI,2017,Friday Mar 24,7:00 PM,"			 $20       ",
Downlink & Arius,"Ruckle, Riza",2017,Thursday Mar 23,10:00 PM,"			 $20       ",
The Magician,The NeedlExchange,2017,Saturday Mar 18,10:30 PM,"			 $20       ",
Jose James,"""Love in a Time of Madness"" featuring Nate Smith, with Corey King",2017,Saturday Mar 18,7:00 PM,"			 $22.25       ",
Black Coffee,"DJ Lisa Frank, Vanniety Kills",2017,Friday Mar 17,10:00 PM,"			 $20       ",
Badass presents: Minnesota,"Champagne Drip, Massacat, Ayes Cold",2017,Thursday Mar 16,10:30 PM,"			 $15       ",
Jens Lekman,Lisa/Liza,2017,Thursday Mar 16,7:00 PM,"			 $25       ",
A Tribe Called Red,"Basscamp, Kristy La Rat",2017,Wednesday Mar 15,10:30 PM,"			 $15       ",
WRLD & smle,fluxxy,2017,Wednesday Mar 15,7:00 PM,"			 $10       ",
Hotel Garuda,"Wingtip, Aire Atlantica",2017,Saturday Mar 11,10:00 PM,"			 $15       ",
Friday Night Dance Party,"Jerome Baker III, Spinser Tracy, Stereo Faith",2017,Friday Mar 10,10:00 PM,"			 $10       ",
Way Out West (live),Tony Smooth,2017,Thursday Mar 9,10:00 PM,"			 $10       ",
Electric Guest,Chaos Chaos,2017,Wednesday Mar 8,7:00 PM,"			 $20       ",
Mike Doughty,Wheatus,2017,Tuesday Mar 7,7:00 PM,"			 $25       ",
Thundercat,Zack Fox,2017,Sunday Mar 5,7:00 PM,"			 $20       ",
Viceroy,"Rainer + Grimm, Noce",2017,Saturday Mar 4,10:30 PM,"			 $10 - $15       ",
Haywyre & The Opiuo Band (at 9:30 Club),,2017,Saturday Mar 4,8:00 PM,"			 $20       ",
Colony House,Deep Sea Diver,2017,Saturday Mar 4,7:00 PM,"			 $15       ",
Alle Farben,"zacheser, Chris Kennedy",2017,Friday Mar 3,10:30 PM,"			 $10       ",
Sango,"Monte Booker, DJ Kidd Marvel",2017,Friday Mar 3,7:00 PM,"			 $20       ",
Ganja White Night,,2017,Thursday Mar 2,10:30 PM,"			 $15 - $25       ",
Mako,Color Palette,2017,Thursday Mar 2,7:00 PM,"			 $15       ",
Noname,Ravyn Lenae,2017,Tuesday Feb 28,10:00 PM,"			 $15       ",
Noname,"Ravyn Lenae, Akenya",2017,Tuesday Feb 28,6:00 PM,"			 $15       ",
Nikki Lane,"Brent Cobb, Jonathan Tyler",2017,Monday Feb 27,7:00 PM,"			 $20       ",
Rumpshaker,"Billy The Gent, Dirty South Joe, Chase B",2017,Saturday Feb 25,10:30 PM,"			 $10       ",
Julius Jetson,"Rawle Night Long, Riza",2017,Friday Feb 24,10:30 PM,"			 $5       ",
The Griswolds,"Dreamers, Wylder",2017,Friday Feb 24,6:00 PM,"			 $18       ",
Cosmo's Midnight,"Whereisalex, K Cap",2017,Thursday Feb 23,10:30 PM,"			 $10       ",
Lisa Hannigan,Heather Woods Broderick,2017,Thursday Feb 23,7:00 PM,"			 $25       ",
XXYYXX,"Antonio Mendez, Lean Quatifah",2017,Sunday Feb 19,9:00 PM,"			 $20       ",
Barclay Crenshaw,"kLL sMTH, Sumner",2017,Saturday Feb 18,10:00 PM,"			 $10 - $15       ",
Mark Farina,"Sam ""The Man"" Burns",2017,Friday Feb 17,10:30 PM,"			 $15       ",
