"","artist","Genres","Labels","Associated acts","Birth name","Born","Died","Instruments","Notable instruments","Occupation(s)","Origin","Years active","Members","Past members","Website","Also known as"
"1","Lou Reed","Rock
experimental
proto-punk
glam rock
art rock","Pickwick
Verve
MGM
Cotillion
RCA
Arista
Sire
Warner Bros.","The Velvet Underground
Metal Machine Trio
Metallica
David Bowie
Mick Ronson
Gorillaz
Iggy Pop
The Killers","Lewis Allan Reed","(1942-03-02)March 2, 1942Brooklyn, New York, U.S.","October 27, 2013(2013-10-27) (aged 71)Southampton, New York, U.S.","Vocals
guitar
piano","Notable instruments","Musician
singer
songwriter
record producer
photographer","Freeport, New York, U.S.","1958–2013",NA,NA,NA,NA
"2","The Jesus Lizard","Noise rock, post-hardcore, alternative rock","Touch and Go, Capitol","The Denison/Kimball Trio, Scratch Acid, Rapeman, Phantom 309, Tomahawk, Qui, Legendary Shack Shakers, U.S.S.A., unFact",NA,NA,NA,NA,NA,NA,"Austin, Texas, United States","1987–1999, 2008–2010, 2017–present","David YowDavid Wm. SimsDuane DenisonMac McNeilly","Jim Kimball
Brendan Murphy",NA,NA
"3","Throwing Muses","Alternative rock, post-punk","4AD, Sire, Warner Bros.","50 Foot Wave, Lakuna, Belly, The Breeders",NA,NA,NA,NA,NA,NA,"Newport, Rhode Island, United States","1981–1991, 1992–1997, 2003–present","Kristin HershDavid NarcizoBernard Georges","Tanya Donelly
Leslie Langston
Fred Abong
Elaine Adamedes
Becca Blumen","throwingmuses.com",NA
"4","Fishbone","Alternative rock,[1]funk rock,[2]funk metal,[3]ska punk[4]","Columbia, DC-Jam Records, Rowdy, Hollywood, High Times Records, Sound In Color, Nuttsactor 5","Year of the Dragon, Dirty Walt & The Columbus Sanitation, Trulio Disgracias, Dr. Madd Vibe, The Seedy Arkhestra, The Soul of John Black, Red Hot Chili Peppers, The Big Ol' Nasty Getdown",NA,NA,NA,NA,NA,NA,"Los Angeles, California, United States","1979–present","Angelo Moore
John Norwood Fisher
Walter A. Kibby II
Philip ""Fish"" Fisher
John BighamRocky George
Jay Armant
Paul Hampton","Kendall Jones
Chris Dowd
Spacey T
Anthony Brewster
Dion Murdock
Tori Ruffin
Andre´ ""PaDre"" Holmes
Curtis Storey
John McKnight
Dre Gipson
Freddie Flint
John Steward","fishbone.net","Fishbone & Familyhood Nextperience"
"5","Meat Beat Manifesto","Post-industrial
electronic
industrial
experimental[1]","Mute,[2]Wax Trax!, Nothing, Brainwashed, Thirsty Ear,[3]Planet Mu, Tino Corp.",NA,NA,NA,NA,NA,NA,NA,"Swindon, Wiltshire, England","1987–present","Jack Dangers
Lynn FarmerMark Pistel
Benjamin Stokes","Marcus Adams
Colin James
Craig Morrison
Mike Powell
Jonny Stephens
Jon Wilson","www.meatbeatmanifesto.com",NA
"6","Ween","Alternative rock
experimental rock
lo-fi
psychedelic rock
comedy rock","Elektra
Sire
Chocodog
Sanctuary
Rounder
Shimmy Disc
Schnitzel","Moistboyz
Freeman
Z-Rock Hawaii
The Dean Ween Group
Gene Ween Band
The Jimmy Wilson Group
Skunk
Regressive Aid
Rollins Band",NA,NA,NA,NA,NA,NA,"New Hope, Pennsylvania, U.S.","1984–2012
2015–present","Dean WeenGene Ween",NA,"ween.com",NA
"7","Cocteau Twins","Dream pop[1][2]
ethereal wave[3]
gothic rock[4]
post-punk[5]","4AD
Relativity
Capitol
Fontana
Bella Union","This Mortal Coil
Faye Wong
Harold Budd
Seefeel",NA,NA,NA,NA,NA,NA,"Grangemouth, Scotland","1979–1997",NA,"Elizabeth Fraser
Robin Guthrie
Will Heggie
Simon Raymonde","www.cocteautwins.com",NA
"8","Front Line Assembly","Industrial
electro-industrial
EBM
industrial metal","KK
Dossier
Third Mind
Wax Trax!
Roadrunner
Cleopatra
Off Beat
Metropolis
Dependent
Zoth Ommog","Blackland
Conjure One
Cyberaktif
Decree
Delerium
Equinox
Fauxliage
Fear Factory
Intermix
Left Spine Down
Mutual Mortuary
Noise Unit
Pro-Tech
Revelstoker
Skinny Puppy
Stiff Valentine
Synæsthesia
Unit 187
Will",NA,NA,NA,NA,NA,NA,"Vancouver, British Columbia, Canada","1986 (1986)–present","Bill LeebJeremy InkelJared Slingerland","Michael BalchRhys FulberChris Peterson","www.mindphaser.com",NA
"9","Porno for Pyros","Alternative rock","Warner Bros.","Jane's Addiction
Banyan
Class of '99",NA,NA,NA,NA,NA,NA,"Los Angeles, California, United States","1992–1997, 2009",NA,"Perry Farrell
Stephen Perkins
Peter DiStefano
Martyn LeNoble
Mike Watt",NA,NA
"10","Del Amitri","Alternative rock","Chrysalis, A&M, Mercury",NA,NA,NA,NA,NA,NA,NA,"Glasgow, Scotland","1983–2002, 2013–present","Justin CurrieIain HarvieAndy AlstonAshley Soan
Kris Dollimore","Donald Bentley
James M Scobbie
Paul Tyagi
Bryan TollandMick SlavenDavid Cummings
Brian McDermott
Jon McLoughinMark Price","delamitri.org",NA
"11","The Dandy Warhols","Alternative rock[1][2]
psychedelic rock
power pop
neo-psychedelia[3][4]
garage rock[5]
synthpop[6][7]
shoegaze","Beat the World
Capitol
The End
Tim/Kerr
Dine Alone","The Brian Jonestown Massacre
Pete International Airport
Immigrant Union
Logan Lynn
One Model Nation
The Upsidedown",NA,NA,NA,NA,NA,NA,"Portland, Oregon, United States","1994–present","Courtney Taylor-TaylorPeter HolmströmZia McCabeBrent DeBoer","Eric Hedford","http://www.dandywarhols.com/",NA
"12","Buffalo Tom","Alternative rock, power pop, grunge","SST, RCA, Situation Two, Megadisc, Ra, Beggars Banquet, East West, Polydor, Ammal/New West, Scrawny Music",NA,NA,NA,NA,NA,NA,NA,"Boston, Massachusetts, United States","1987–present","Bill Janovitz
Chris Colbourn
Tom Maginnis",NA,"Official website",NA
"13","Electrafixion","Alternative rock","Warner Music
PhreeSire Records (US)Elektra Records (US)","Echo & the Bunnymen",NA,NA,NA,NA,NA,NA,"England, United Kingdom","1994–1996",NA,"Ian McCullochWill Sergeant
Leon de Sylva
Tony McGuigan",NA,NA
"14","Fugazi","Post-hardcore
art punk
alternative rock
experimental rock
noise rock
emo","Dischord","Ataxia
Girls Against Boys
Embrace
The Evens
Minor Threat
Rites of Spring
The Teen Idles
One Last Wish
Happy Go Licky
Egg Hunt
Skewbald/Grand Union
Pailhead",NA,NA,NA,NA,NA,NA,"Washington, D.C., U.S.","1986–2002 (on hiatus since 2003)","Ian MacKaye
Joe Lally
Brendan Canty
Guy Picciotto","Colin Sears","www.dischord.com/band/fugazi",NA
"15","Elliott Smith","Indie folk[1]
indie pop[2]
indie rock[3]
lo-fi[4]","Virgin/Caroline
Cavity Search
Kill Rock Stars
Suicide Squeeze
DreamWorks
ANTI-
Domino","Heatmiser
Quasi
Mary Lou Lord
Pete Krebs
No. 2
Beck","Steven Paul Smith","(1969-08-06)August 6, 1969Omaha, Nebraska, U.S.","October 21, 2003(2003-10-21) (aged 34)Los Angeles, California, U.S.","Guitar
vocals
piano
clarinet
bass
drums
harmonica",NA,"Musician
singer-songwriter",NA,"1991–2003",NA,NA,"Official website",NA
