"","X","venue","headliner","support","weekday","date","time","ticket_price"
"1",1,"9:30 Club","Lou Reed","Luna","Saturday","1996-03-09","",""
"2",2,"9:30 Club","Medeski","Martin & Wood","Friday","1996-07-12","",""
"3",3,"9:30 Club","Weezer","Ash","Saturday","1996-11-30","",""
"4",4,"9:30 Club","Reverend Horton Heat",NA,"Thursday","1996-09-26","",""
"5",5,"9:30 Club","Luna","Papas Fritas and Elysian Fields","Saturday","1996-05-25","",""
"6",6,"9:30 Club","Billy Bragg and Robyn Hitchcock","Deni Bonet","Wednesday","1996-11-13","",""
"7",7,"9:30 Club","The Jesus Lizard","The Jon Spencer Blues Explosion","Tuesday","1996-12-31","",""
"8",8,"9:30 Club","Lush",NA,"Saturday","1996-04-27","",""
"9",9,"9:30 Club","David Gray and Radiohead",NA,"Wednesday","1996-04-10","",""
"10",10,"9:30 Club","Throwing Muses",NA,"Monday","1996-08-19","",""
"11",11,"9:30 Club","Fishbone",NA,"Wednesday","1996-05-22","",""
"12",12,"9:30 Club","Fishbone",NA,"Wednesday","1996-09-11","",""
"13",13,"9:30 Club","Meat Beat Manifesto",NA,"Sunday","1996-09-08","",""
"14",14,"9:30 Club","They Might Be Giants",NA,"Friday","1996-08-16","",""
"15",15,"9:30 Club","Ween",NA,"Monday","1996-10-28","",""
"16",16,"9:30 Club","Marilyn Manson",NA,"Wednesday","1996-11-06","",""
"17",17,"9:30 Club","Velocity Girl",NA,"Friday","1996-10-04","",""
"18",18,"9:30 Club","Cocteau Twins",NA,"Sunday","1996-06-09","",""
"19",19,"9:30 Club","Garbage","Polara","Monday","1996-04-22","",""
"20",20,"9:30 Club","The Presidents of The United States of America","Menthol","Sunday","1996-06-23","",""
"21",21,"9:30 Club","Front Line Assembly","Die Krupps and Numb","Friday","1996-04-12","",""
"22",22,"9:30 Club","Cast and Ash","Muzzle","Saturday","1996-07-20","",""
"23",23,"9:30 Club","Frank Black","Frank Black & The Catholics","Wednesday","1996-03-13","",""
"24",24,"9:30 Club","Porno for Pyros",NA,"Monday","1996-07-08","",""
"25",25,"9:30 Club","Del Amitri",NA,"Monday","1996-03-18","",""
"26",26,"9:30 Club","Imperial Drag","The Meices and Eve's Plum","Saturday","1996-07-27","",""
"27",27,"9:30 Club","The Dandy Warhols",NA,"Monday","1996-04-01","",""
"28",28,"9:30 Club","Buffalo Tom",NA,"Saturday","1996-12-14","",""
"29",29,"9:30 Club","Gene and Stereolab",NA,"Friday","1996-05-24","",""
"30",30,"9:30 Club","Pulp",NA,"Tuesday","1996-06-04","",""
"31",31,"9:30 Club","Electrafixion",NA,"Thursday","1996-05-30","",""
"32",32,"9:30 Club","Fugazi",NA,"Wednesday","1996-01-31","",""
"33",33,"9:30 Club","Eels and Lush",NA,"Friday","1996-08-30","",""
"34",34,"9:30 Club","Elliott Smith",NA,"Sunday","1996-09-08","",""
"35",35,"9:30 Club","Luna",NA,"Friday","1996-01-19","",""
"36",36,"9:30 Club","Luna",NA,"Saturday","1996-10-19","",""
"37",37,"9:30 Club","Deep Purple",NA,"Monday","1996-11-25","",""
"38",38,"9:30 Club","Descendents","Swingin' Utters and The Bouncing Souls","Friday","1996-12-13","",""
"39",39,"9:30 Club","Bob Mould",NA,"Thursday","1996-10-10","",""
"40",40,"9:30 Club","Korn","Sugar Ray and Life of Agony","Monday","1996-01-22","",""
"41",41,"9:30 Club","Meat Beat Manifesto",NA,"Saturday","1996-09-07","",""
"42",42,"9:30 Club","Smashing Pumpkins",NA,"Friday","1996-01-05","",""
"43",43,"9:30 Club","Smashing Pumpkins",NA,"Saturday","1996-01-06","",""
"44",44,"9:30 Club","Soul Coughing",NA,"Saturday","1996-07-13","",""
"45",45,"9:30 Club","Steve Earle",NA,"Friday","1996-12-06","",""
"46",46,"9:30 Club","The Pogues",NA,"Sunday","1996-04-14","",""
"47",47,"9:30 Club","Marshall Crenshaw",NA,"Tuesday","1996-10-15","",""
"48",48,"9:30 Club","They Might Be Giants",NA,"Wednesday","1996-01-17","",""
"49",49,"9:30 Club","They Might Be Giants",NA,"Friday","1996-12-27","",""
"50",50,"9:30 Club","Everclear","Ruth Ruth","Saturday","1996-02-17","",""
"51",51,"9:30 Club","The Tragically Hip",NA,"Monday","1996-09-30","",""
"52",52,"9:30 Club","The Tragically Hip",NA,"Wednesday","1996-05-29","",""
"53",53,"9:30 Club","Morphine",NA,"Sunday","1996-04-14","",""
"54",54,"9:30 Club","Morphine",NA,"Monday","1996-04-15","",""
"55",55,"9:30 Club","The Afghan Whigs",NA,"Wednesday","1996-06-12","",""
