"","artist","main_genre"
"1","Lou Reed","Rock"
"2","The Jesus Lizard","Noise rock"
"3","Throwing Muses","Alternative rock"
"4","Fishbone","Alternative rock"
"5","Meat Beat Manifesto","Post-industrial"
"6","Ween","Alternative rock"
"7","Cocteau Twins","Dream pop"
"8","Front Line Assembly","Industrial"
"9","Porno for Pyros","Alternative rock"
"10","Del Amitri","Alternative rock"
"11","The Dandy Warhols","Alternative rock"
"12","Buffalo Tom","Alternative rock"
"13","Electrafixion","Alternative rock"
"14","Fugazi","Post-hardcore"
"15","Elliott Smith","Indie folk"
"16","Deep Purple","Hard rock"
"17","Descendents","Punk rock"
"18","Bob Mould","Punk rock"
"19","Soul Coughing","Alternative rock"
"20","Steve Earle","Country"
"21","The Pogues","Celtic punk"
"22","Marshall Crenshaw","Rock"
"23","The Tragically Hip","Rock"
"24","The Afghan Whigs","Alternative rock"
"25","The Lemonheads","Punk rock"
"26","Maria McKee","Pop rock"
"27","Michelle Shocked","Alternative folk"
"28","The Mighty Mighty Bosstones","Ska punk"
"29","Bruce Cockburn","Folk"
"30","Lisa Loeb","Pop"
"31","Faith No More","Alternative metal"
"32","KMFDM","Industrial rock"
"33","The Verve","Alternative rock"
"34","Juliana Hatfield","Alternative rock"
"35","Our Lady Peace","Alternative rock"
"36","Dinosaur Jr.","Alternative rock"
"37","The Sundays","Alternative rock"
"38","Wilco","Alternative rock"
"39","Better Than Ezra","Alternative rock"
"40","Catherine Wheel","Alternative rock"
"41","The Orb","Ambient house"
"42","Citizen Cope","Alternative rock"
"43","Superchunk","Indie rock"
"44","Maceo Parker","Funk"
"45","John Lydon","Punk rock"
"46","Stereolab","Avant-pop"
"47","The Cramps","Punk rock"
"48","Papas Fritas","indie rock"
"49","Echo & The Bunnymen","New wave"
"50","Megadeth","Heavy metal"
"51","Patty Griffin","Americana"
"52","Patti Smith","Punk rock"
"53","The Seahorses","Alternative rock"
"54","Supergrass","Alternative rock"
"55","Fountains of Wayne","Power pop"
"56","Graham Parker","Rock"
"57","Silverchair","Grunge"
"58","You Am I","Alternative rock"
"59","Beth Orton","Folktronica"
"60","Spiritualized","Space rock"
"61","Soul Asylum","Alternative rock"
"62","Matchbox Twenty","Alternative rock"
"63","Nothingface","Heavy metal"
"64","Dropkick Murphys","Celtic punk"
"65","The Minus 5","Pop rock"
"66","Slayer","Heavy metal"
"67","PJ Harvey","Alternative rock"
"68","Ben Folds Five","Alternative rock"
"69","Liz Phair","Alternative rock"
"70","Sonic Youth","Noise rock"
"71","G. Love & Special Sauce","Alternative hip hop"
"72","Reel Big Fish","Ska punk"
"73","Massive Attack","Trip hop"
"74","Mudhoney","Alternative rock"
"75","Little Feat","Southern rock"
"76","Rocket from the Crypt","Punk rock"
"77","Chris Whitley","Blues rock"
"78","Gary Numan","Synth-pop"
"79","The Jesus and Mary Chain","Alternative rock"
"80","The Goo Goo Dolls","Alternative rock"
"81","Paula Cole","Pop"
"82","Luscious Jackson","Alternative rock"
"83","Trey Anastasio","Alternative rock"
"84","The Sisters Of Mercy","Gothic rock"
"85","GusGus","Electronic music"
"86","Counting Crows","Rock"
"87","Sebadoh","Indie rock"
"88","Rage Against The Machine","Rap metal"
"89","Mercury Rev","Indie rock"
"90","Morcheeba","Trip hop"
"91","Soulfly","Groove metal"
"92","Atari Teenage Riot","Digital hardcore"
"93","Dead Can Dance","Neoclassical dark wave"
"94","Mojave 3","Dream pop"
"95","Bloodhound Gang","Alternative rock"
"96","Tenacious D","Comedy rock"
"97","Remy Zero","Alternative rock"
"98","Chemical Brothers","Big beat"
"99","Alice Cooper","Hard rock"
"100","Siouxsie & The Banshees","Post-punk"
"101","The Cranberries","Alternative rock"
"102","Rusted Root","Roots rock"
"103","The Cult","Hard rock"
"104","Guided By Voices","Indie rock"
"105","Burning Spear","Reggae"
"106","Jamiroquai","Funk"
"107","Lunachicks","Punk rock"
"108","The Distillers","Punk rock"
"109","Moby","Electronica"
"110","Robyn Hitchcock","Alternative rock"
"111","Ani DiFranco","Folk rock"
"112","Moxy Fruvous","Folk rock"
"113","Morrissey","Alternative rock"
"114","The Disco Biscuits","Trance fusion"
"115","Type O Negative","Gothic metal"
"116","Yo La Tengo","Indie rock"
"117","Dream Theater","Progressive metal"
"118","Boss Hog","Punk blues"
"119","Godspeed You! Black Emperor","Post-rock"
"120","Long Beach Dub All-Stars","Reggae"
"121","The Jayhawks","Alternative country"
"122","Joe Satriani","Instrumental rock"
"123","Meshell Ndegeocello","Funk"
"124","Kenny Wayne Shepherd","Blues rock"
"125","Blues Traveler","Rock"
"126","Karl Denson's Tiny Universe","Jazz"
"127","Primal Scream","Alternative rock"
"128","Less Than Jake","Ska punk"
"129","The Magnetic Fields","Indie pop"
"130","Richard Ashcroft","Alternative rock"
"131","Ben Folds","Rock"
"132","Pete Yorn","Alternative rock"
"133","Stephen Malkmus & The Jicks","Indie rock"
"134","Black Rebel Motorcycle Club","Alternative rock"
"135","The Psychedelic Furs","Post-punk"
"136","Mogwai","Post-rock"
"137","Midnight Oil","Alternative rock"
"138","Jeff Tweedy","Alternative country"
"139","Rollins Band","Alternative metal"
"140","Cradle of Filth","Extreme metal"
"141","Badly Drawn Boy","Indie rock"
"142","David Byrne","New wave"
"143","Stereophonics","Alternative rock"
"144","Ryan Adams","Rock"
"145","MDFMK","Industrial rock"
"146","O.A.R.","Alternative rock"
"147","Autechre","Electronic"
"148","DJ Logic","Hip-hop"
"149","Old 97's","Alternative country"
"150","Will Calhoun","Pop"
"151","Soulive","Soul jazz"
"152","Billy Idol","Punk rock"
"153","Social Distortion","Punk rock"
"154","blink-182","Pop punk"
"155","Quasi","Indie rock"
"156","The Waterboys","Celtic folk"
"157","The Living End","Punk rock"
"158","Indigo Girls","Folk rock"
"159","Matt Nathanson","Rock"
"160","The Donnas","Rock"
"161","Tegan and Sara","Indie pop"
"162","Tiger Army","Psychobilly"
"163","The Juliana Theory","Emo"
"164","Big Head Todd","Rock"
"165","Simple Minds","Post-punk"
"166","Gwar","Heavy metal"
"167","Cornershop","Indie rock"
"168","Zero 7","Trip hop"
"169","Jurassic 5","Alternative hip hop"
"170","Steve Kimock Band","Pop"
"171","Dashboard Confessional","Emo"
"172","Jimmy Eat World","Alternative rock"
"173","Saves The Day","Emo"
"174","Roxy Music","Art rock"
"175","Dredg","Alternative rock"
"176","Coheed and Cambria","Progressive rock"
"177","Ben Kweller","Indie rock"
"178","Gin Blossoms","Alternative rock"
"179","The Calling","Post-grunge"
"180","Norah Jones","Jazz"
"181","Ron Sexsmith","Pop"
"182","Neil Finn","Rock"
"183","Leo Kottke","American folk musicAmericanaNew AcousticAmerican Primitive Guitar"
"184","Gravity Kills","Industrial rock"
"185","Dwight Yoakam","Country"
"186","Aimee Mann","Rock"
"187","Earshot","Hard rock"
"188","Lords of Acid","Industrial"
"189","Erasure","Synthpop"
"190","The Faint","Indie rock"
"191","Belle and Sebastian","Indie pop"
"192","Deftones","Alternative metal"
"193","Porcupine Tree","Progressive rock"
"194","Paul Weller","Punk rock"
"195","Henry Rollins","Hardcore punk"
"196","Ladytron","Synthpop"
"197","Macy Gray","R&B"
"198","Thievery Corporation","Downtempo"
"199","The Polyphonic Spree","Psychedelic pop"
"200","Mission of Burma","Post-punk"
"201","Sex Pistols","Punk rock"
"202","Drive-By Truckers","Alternative rock"
