,venue,headliner,weekday,date,main_genre
1,9:30 Club,Lou Reed,Saturday,3/9/96,Rock
2,9:30 Club,Weezer,Saturday,11/30/96,Alternative/Indie
3,9:30 Club,The Jesus Lizard,Tuesday,12/31/96,Noise rock
4,9:30 Club,Throwing Muses,Monday,8/19/96,Alternative rock
5,9:30 Club,Fishbone,Wednesday,5/22/96,Alternative rock
6,9:30 Club,Fishbone,Wednesday,9/11/96,Alternative rock
7,9:30 Club,Meat Beat Manifesto,Sunday,9/8/96,Post-industrial
8,9:30 Club,They Might Be Giants,Friday,8/16/96,Rock
9,9:30 Club,Ween,Monday,10/28/96,Alternative rock
10,9:30 Club,Marilyn Manson,Wednesday,11/6/96,Rock
11,9:30 Club,Velocity Girl,Friday,10/4/96,Alternative/Indie
12,9:30 Club,Cocteau Twins,Sunday,6/9/96,Dream pop
13,9:30 Club,Garbage,Monday,4/22/96,Alternative/Indie
14,9:30 Club,The Presidents of The United States of America,Sunday,6/23/96,Rock
15,9:30 Club,Front Line Assembly,Friday,4/12/96,Industrial
16,9:30 Club,Porno for Pyros,Monday,7/8/96,Alternative rock
17,9:30 Club,Del Amitri,Monday,3/18/96,Alternative rock
18,9:30 Club,Imperial Drag,Saturday,7/27/96,Pop
19,9:30 Club,The Dandy Warhols,Monday,4/1/96,Alternative rock
20,9:30 Club,Buffalo Tom,Saturday,12/14/96,Alternative rock
21,9:30 Club,Pulp,Tuesday,6/4/96,Alternative/Indie
22,9:30 Club,Electrafixion,Thursday,5/30/96,Alternative rock
23,9:30 Club,Fugazi,Wednesday,1/31/96,Post-hardcore
24,9:30 Club,Elliott Smith,Sunday,9/8/96,Indie folk
25,9:30 Club,Deep Purple,Monday,11/25/96,Hard rock
26,9:30 Club,Descendents,Friday,12/13/96,Punk rock
27,9:30 Club,Bob Mould,Thursday,10/10/96,Punk rock
28,9:30 Club,Korn,Monday,1/22/96,Rock
29,9:30 Club,Meat Beat Manifesto,Saturday,9/7/96,Post-industrial
30,9:30 Club,Smashing Pumpkins,Friday,1/5/96,Rock
31,9:30 Club,Smashing Pumpkins,Saturday,1/6/96,Rock
32,9:30 Club,Soul Coughing,Saturday,7/13/96,Alternative rock
33,9:30 Club,Steve Earle,Friday,12/6/96,Country
34,9:30 Club,The Pogues,Sunday,4/14/96,Celtic punk
35,9:30 Club,Marshall Crenshaw,Tuesday,10/15/96,Rock
36,9:30 Club,They Might Be Giants,Wednesday,1/17/96,Rock
37,9:30 Club,They Might Be Giants,Friday,12/27/96,Rock
38,9:30 Club,Everclear,Saturday,2/17/96,Rock
39,9:30 Club,The Tragically Hip,Monday,9/30/96,Rock
40,9:30 Club,The Tragically Hip,Wednesday,5/29/96,Rock
41,9:30 Club,Morphine,Sunday,4/14/96,Alternative/Indie
42,9:30 Club,Morphine,Monday,4/15/96,Alternative/Indie
43,9:30 Club,The Afghan Whigs,Wednesday,6/12/96,Alternative rock
44,9:30 Club,Squeeze,Wednesday,7/24/96,Pop
45,9:30 Club,The Jesus Lizard,Monday,12/30/96,Noise rock
46,9:30 Club,The Lemonheads,Saturday,10/26/96,Punk rock
47,9:30 Club,Maria McKee,Sunday,3/24/96,Pop rock
48,9:30 Club,Archers of Loaf,Saturday,2/24/96,Alternative/Indie
49,9:30 Club,Michelle Shocked,Thursday,11/14/96,Alternative folk
50,9:30 Club,The Mighty Mighty Bosstones,Saturday,5/18/96,Ska punk
51,9:30 Club,Bruce Cockburn,Monday,4/29/96,Folk
52,9:30 Club,Lisa Loeb,Friday,3/1/96,Pop
53,9:30 Club,Korn,Sunday,11/10/96,Rock
54,9:30 Club,Faith No More,Tuesday,9/16/97,Alternative metal
55,9:30 Club,KMFDM,Sunday,11/23/97,Industrial rock
56,9:30 Club,The Verve,Monday,11/3/97,Alternative rock
57,9:30 Club,Juliana Hatfield,Friday,12/19/97,Alternative rock
58,9:30 Club,Our Lady Peace,Saturday,10/18/97,Alternative rock
59,9:30 Club,Dinosaur Jr.,Friday,4/25/97,Alternative rock
60,9:30 Club,Soul Coughing,Thursday,3/6/97,Alternative rock
61,9:30 Club,Juliana Hatfield,Sunday,2/16/97,Alternative rock
62,9:30 Club,The Sundays,Wednesday,12/3/97,Alternative rock
63,9:30 Club,Wilco,Thursday,2/13/97,Alternative rock
64,9:30 Club,Better Than Ezra,Thursday,7/31/97,Alternative rock
65,9:30 Club,Catherine Wheel,Monday,12/8/97,Alternative rock
66,9:30 Club,Cranes,Friday,3/14/97,Pop
67,9:30 Club,The Orb,Sunday,7/27/97,Ambient house
68,9:30 Club,Citizen Cope,Friday,7/11/97,Alternative rock
69,9:30 Club,Superchunk,Friday,10/31/97,Indie Rock
70,9:30 Club,Maceo Parker,Thursday,5/22/97,Funk
71,9:30 Club,Elysian Fields,Saturday,5/17/97,Alternative/Indie
72,9:30 Club,James,Thursday,2/27/97,Rock
73,9:30 Club,John Lydon,Wednesday,9/10/97,Punk rock
74,9:30 Club,Radiohead,Tuesday,8/12/97,Rock
75,9:30 Club,Stereolab,Sunday,12/7/97,Avant-pop
76,9:30 Club,Tricky,Thursday,1/9/97,Alternative/Indie
77,9:30 Club,The Cramps,Tuesday,11/11/97,Punk rock
78,9:30 Club,The Dandy Warhols,Friday,8/22/97,Alternative rock
79,9:30 Club,Papas Fritas,Saturday,2/8/97,indie rock
80,9:30 Club,Echo & The Bunnymen,Monday,10/27/97,New wave
81,9:30 Club,Eels,Thursday,3/13/97,Alternative/Indie
82,9:30 Club,Megadeth,Monday,8/18/97,Heavy metal
83,9:30 Club,Megadeth,Tuesday,8/19/97,Heavy metal
84,9:30 Club,Patty Griffin,Sunday,5/11/97,Americana
85,9:30 Club,Patty Griffin,Saturday,3/8/97,Americana
86,9:30 Club,Patty Griffin,Friday,3/7/97,Americana
87,9:30 Club,Patti Smith,Thursday,1/2/97,Punk rock
88,9:30 Club,Patti Smith,Friday,1/3/97,Punk rock
89,9:30 Club,The Seahorses,Monday,8/4/97,Alternative rock
90,9:30 Club,Supergrass,Saturday,5/31/97,Alternative rock
91,9:30 Club,Fishbone,Saturday,8/9/97,Alternative rock
92,9:30 Club,Fountains of Wayne,Thursday,4/10/97,Power pop
93,9:30 Club,Graham Parker,Friday,6/13/97,Rock
94,9:30 Club,Bob Mould,Wednesday,4/9/97,Punk rock
95,9:30 Club,Our Lady Peace,Tuesday,6/3/97,Alternative rock
96,9:30 Club,The Pogues,Thursday,6/12/97,Celtic punk
97,9:30 Club,They Might Be Giants,Saturday,10/11/97,Rock
98,9:30 Club,Morphine,Sunday,3/16/97,Alternative/Indie
99,9:30 Club,Mustard Plug,Tuesday,6/24/97,Alternative/Indie
100,9:30 Club,Poster Children,Wednesday,5/28/97,Alternative/Indie
101,9:30 Club,Silverchair,Friday,2/21/97,Grunge
102,9:30 Club,You Am I,Saturday,2/22/97,Alternative rock
103,9:30 Club,Bob Dylan,Thursday,12/4/97,Rock
104,9:30 Club,Bob Dylan,Friday,12/5/97,Rock
105,9:30 Club,Beth Orton,Saturday,10/25/97,Folktronica
106,9:30 Club,The Jesus Lizard,Friday,11/7/97,Noise rock
107,9:30 Club,Spiritualized,Saturday,12/6/97,Space rock
108,9:30 Club,Soul Asylum,Monday,6/16/97,Alternative rock
109,9:30 Club,Matchbox Twenty,Thursday,6/5/97,Alternative rock
110,9:30 Club,Matchbox Twenty,Sunday,11/9/97,Alternative rock
111,9:30 Club,Nothingface,Friday,8/29/97,Heavy metal
112,9:30 Club,Dropkick Murphys,Saturday,8/16/97,Celtic punk
113,9:30 Club,Live,Wednesday,2/19/97,Rock
114,9:30 Club,The Minus 5,Thursday,5/29/97,Pop rock
115,9:30 Club,The Jesus Lizard,Tuesday,7/1/97,Noise rock
116,9:30 Club,Slayer,Monday,6/15/98,Heavy metal
117,9:30 Club,Tori Amos,Wednesday,4/22/98,Rock
118,9:30 Club,Fishbone,Wednesday,12/2/98,Alternative rock
119,9:30 Club,PJ Harvey,Friday,11/6/98,Alternative rock
120,9:30 Club,Ben Folds Five,Sunday,2/22/98,Alternative rock
121,9:30 Club,Ween,Saturday,1/17/98,Alternative rock
122,9:30 Club,Portishead,Sunday,3/15/98,Alternative/Indie
123,9:30 Club,Radiohead,Saturday,6/13/98,Rock
124,9:30 Club,Liz Phair,Monday,10/5/98,Alternative rock
125,9:30 Club,Lou Reed,Thursday,8/13/98,Rock
126,9:30 Club,The Tragically Hip,Saturday,10/3/98,Rock
127,9:30 Club,Garbage,Wednesday,5/27/98,Alternative/Indie
128,9:30 Club,Better Than Ezra,Friday,10/2/98,Alternative rock
129,9:30 Club,Sonic Youth,Thursday,5/7/98,Noise rock
130,9:30 Club,Sonic Youth,Wednesday,5/6/98,Noise rock
131,9:30 Club,G. Love & Special Sauce,Thursday,12/31/98,Alternative hip hop
132,9:30 Club,Reel Big Fish,Friday,9/25/98,Ska punk
133,9:30 Club,Mustard Plug,Tuesday,4/21/98,Alternative/Indie
134,9:30 Club,Massive Attack,Thursday,9/10/98,Trip hop
135,9:30 Club,The Damned,Monday,2/9/98,Rock
136,9:30 Club,Buffalo Tom,Saturday,11/7/98,Alternative rock
137,9:30 Club,The Church,Saturday,10/10/98,Alternative/Indie
138,9:30 Club,Eels,Sunday,11/8/98,Alternative/Indie
139,9:30 Club,Patti Smith,Wednesday,11/18/98,Punk rock
140,9:30 Club,Mudhoney,Saturday,10/17/98,Alternative rock
141,9:30 Club,Bob Mould,Wednesday,9/30/98,Punk rock
142,9:30 Club,Little Feat,Saturday,2/7/98,Southern rock
143,9:30 Club,Alanis Morissette,Tuesday,10/27/98,Pop
144,9:30 Club,Soul Coughing,Sunday,10/25/98,Alternative rock
145,9:30 Club,They Might Be Giants,Wednesday,12/30/98,Rock
146,9:30 Club,The Afghan Whigs,Sunday,11/22/98,Alternative rock
147,9:30 Club,Rocket from the Crypt,Saturday,7/25/98,Punk rock
148,9:30 Club,Squeeze,Tuesday,6/9/98,Pop
