,venue,headliner,weekday,date,main_genre
15571,Warner Theatre,Sunidhi Chauhan,Friday,7/15/16,world
8162,DAR Constitution Hall,Sunidhi Chauhan,Friday,7/22/11,world
17961,U Street Music Hall,Optimo,Wednesday,8/31/11,world
17800,U Street Music Hall,Novalima,Saturday,7/7/12,world
17684,U Street Music Hall,Dropkick Murphys,Tuesday,12/11/12,world
17556,U Street Music Hall,Novalima,Friday,8/2/13,world
17281,U Street Music Hall,Jesse Boykins III,Saturday,11/22/14,world
17152,U Street Music Hall,Songhoy Blues,Friday,6/12/15,world
17142,U Street Music Hall,Novalima,Thursday,6/25/15,world
16749,Wolf Trap,Cherish the Ladies,Wednesday,2/15/17,world
16746,Wolf Trap,Cherish the Ladies,Tuesday,2/14/17,world
16743,Wolf Trap,Eileen Ivers,Friday,12/1/17,world
16719,Wolf Trap,Celtic Woman,Tuesday,6/20/17,world
16693,Wolf Trap,Tinariwen,Wednesday,4/19/17,world
16685,Wolf Trap,Daddy Yankee,Sunday,9/17/17,world
16672,Wolf Trap,Cristina Pato,Friday,11/11/16,world
16661,Wolf Trap,Moira Smiley,Saturday,2/6/16,world
16660,Wolf Trap,Moira Smiley,Friday,2/5/16,world
16658,Wolf Trap,Mahmoud Ahmed,Friday,10/21/16,world
16645,Wolf Trap,National Symphony Orchestra,Friday,8/5/16,world
16638,Wolf Trap,National Symphony Orchestra,Saturday,7/30/16,world
16635,Wolf Trap,National Symphony Orchestra,Saturday,7/9/16,world
16634,Wolf Trap,National Symphony Orchestra,Thursday,6/30/16,world
16630,Wolf Trap,National Symphony Orchestra,Saturday,7/23/16,world
16623,Wolf Trap,National Symphony Orchestra,Friday,7/1/16,world
16613,Wolf Trap,Asha Bhosle,Wednesday,6/29/16,world
16563,Wolf Trap,Eileen Ivers,Friday,4/17/15,world
16549,Wolf Trap,National Symphony Orchestra,Saturday,7/18/15,world
16547,Wolf Trap,National Symphony Orchestra,Saturday,7/11/15,world
16543,Wolf Trap,National Symphony Orchestra,Saturday,8/1/15,world
16538,Wolf Trap,Celtic Woman,Saturday,6/20/15,world
16517,Wolf Trap,Gipsy Kings,Thursday,9/10/15,world
16494,Wolf Trap,Santana,Tuesday,8/25/15,world
16481,Wolf Trap,Paul Byrom,Wednesday,3/12/14,world
16475,Wolf Trap,Ladysmith Black Mambazo,Wednesday,2/5/14,world
16422,Wolf Trap,Gipsy Kings,Thursday,9/4/14,world
16399,Wolf Trap,National Symphony Orchestra,Friday,6/28/13,world
16392,Wolf Trap,National Symphony Orchestra,Saturday,7/27/13,world
16388,Wolf Trap,National Symphony Orchestra,Friday,7/12/13,world
16387,Wolf Trap,National Symphony Orchestra,Saturday,8/3/13,world
16386,Wolf Trap,National Symphony Orchestra,Friday,8/2/13,world
16385,Wolf Trap,National Symphony Orchestra,Thursday,8/1/13,world
16381,Wolf Trap,Celtic Crossroads,Thursday,2/28/13,world
16380,Wolf Trap,Celtic Crossroads,Wednesday,2/27/13,world
16369,Wolf Trap,Hapa,Sunday,4/7/13,world
16368,Wolf Trap,Hapa,Saturday,4/6/13,world
16346,Wolf Trap,National Symphony Orchestra,Friday,7/26/13,world
16336,Wolf Trap,Celtic Woman,Friday,6/14/13,world
16330,Wolf Trap,Gipsy Kings,Thursday,8/8/13,world
16325,Wolf Trap,Juanes,Wednesday,6/19/13,world
16297,Wolf Trap,Battlefield Band,Friday,10/19/12,world
16291,Wolf Trap,National Symphony Orchestra,Saturday,8/4/12,world
16285,Wolf Trap,National Symphony Orchestra,Saturday,7/7/12,world
16279,Wolf Trap,National Symphony Orchestra,Friday,7/6/12,world
16278,Wolf Trap,National Symphony Orchestra,Saturday,7/14/12,world
16272,Wolf Trap,Hapa,Wednesday,3/28/12,world
16264,Wolf Trap,Celtic Crossroads,Wednesday,3/21/12,world
16263,Wolf Trap,Celtic Crossroads,Tuesday,3/20/12,world
16257,Wolf Trap,Cherish the Ladies,Friday,2/24/12,world
16256,Wolf Trap,The Irish Rovers,Wednesday,3/14/12,world
16247,Wolf Trap,Gipsy Kings,Tuesday,8/7/12,world
16243,Wolf Trap,National Symphony Orchestra,Saturday,7/28/12,world
16241,Wolf Trap,Hapa,Thursday,3/29/12,world
16237,Wolf Trap,Altan,Tuesday,3/6/12,world
16236,Wolf Trap,Ladysmith Black Mambazo,Monday,3/12/12,world
16234,Wolf Trap,Cherish the Ladies,Saturday,2/25/12,world
16221,Wolf Trap,Gipsy Kings,Wednesday,8/8/12,world
16182,Wolf Trap,Battlefield Band,Friday,10/21/11,world
16179,Wolf Trap,The Brothers Cazimero,Wednesday,9/7/11,world
16177,Wolf Trap,National Symphony Orchestra,Friday,8/5/11,world
16176,Wolf Trap,National Symphony Orchestra,Thursday,8/4/11,world
16170,Wolf Trap,Gipsy Kings,Friday,8/19/11,world
16151,Wolf Trap,Barrage,Thursday,2/24/11,world
16150,Wolf Trap,Barrage,Wednesday,2/23/11,world
16130,Wolf Trap,National Symphony Orchestra,Saturday,7/30/11,world
16108,Wolf Trap,Gipsy Kings,Saturday,8/20/11,world
16085,Wolf Trap,Battlefield Band,Thursday,11/4/10,world
16079,Wolf Trap,National Symphony Orchestra,Friday,8/6/10,world
16078,Wolf Trap,National Symphony Orchestra,Thursday,8/5/10,world
16076,Wolf Trap,Bonnie Rideout,Friday,4/30/10,world
16070,Wolf Trap,Gipsy Kings,Friday,7/2/10,world
